X.2,X.1,Parent,Spinoff,Date,Parent.Company,New.Company,MarketCap,Notes,Missing.,Sector,Industry,YF_Dummy,Notes.1,X,TotalAssets,Inventory,NetPPE,TotalEquityGrossMinorityInterest,TotalDebt,TotalRevenue,ResearchAndDevelopment,OperatingIncome,NetIncome,ParentTotalAssets,ParentTotalEquityGrossMinorityInterest,ParentTotalDebt,Notes...Parent,Notes...Spinoff,Notes.2,Year.Dmy,IndustryMedianEarningsVolatility,IndustryMedianLeverageRatio,SectorMedianEarningsVolatility,SectorMedianLeverageRatio,Taxes,ClosestDate,WX_FFR,WX_diff
19,19,AMC,APE,8/22/22,Amc Entertainment Holdings Inc,Amc Entertainment Holdings Inc,5010140359,True spinoff?,,Communication Services,Entertainment,,,,9206100000,,5533900000,-2579000000,10193800000,968400000,,-114900000,-226900000,9818300000,-2326800000,10456000000,,,,2022,1.112818644,1.976846217,0.746444373,0.915681256,,19236,3.08,0.75
20,20,FTAI,FIP,8/2/22,Ftai Aviation Ltd.,Ftai Infrastructure Inc,238529920,,,Industrials,Conglomerates,,,,2525468000,,1641373000,555851000,1261516000,78559000,,-9130000,-43194000,4882148000,689271000,3569706000,,,,2022,0.368486566,0.824878019,0.542921847,0.72137165,0.21,19205,2.33,0.01
21,21,EHC,EHAB,7/1/22,Encompass Health Corp,Enhabit Inc,696642364,,,Healthcare,Medical Care Facilities,,,,1622900000,,62800000,863800000,610300000,265700000,,17900000,8600000,7082200000,2544600000,3531300000,,,,2022,,0.870646588,0.474073762,0.172467945,0.239,19174,2.32,0.74
22,22,BBIG,OCTO,6/30/22,Vinco Ventures Inc,Eightco Holdings Inc,41219657,,,Consumer Cyclical,Packaging & Containers,,,,51462064,150089,1032247,13132999,25626212,7345959,,-3493224,-3364449,458509854,222329226,115947780,,,,2022,,2.037401238,1.104387669,0.849259347,0,19174,2.32,0.74
23,23,FANH,CNF,6/8/22,Fanhua Inc,Cnfinance Holdings Ltd.,174884513,,,Financial Services,Mortgage Finance,,,,1961223000,,407000,545511000,1067593000,,,,6470000,3087455000,1862164000,194341000,,,,2022,,1.796966962,0.670399927,0.713185784,0.114,19144,1.58,0.75
24,24,BHP,WDS,6/2/22,Bhp Group Ltd.,Woodside Energy Group Ltd.,46947315194,,,Energy,Oil & Gas E&P,,,,54952000000,550000000,41140000000,33424000000,1618000000,16817000000,,8286000000,6498000000,1.05725E+11,54922000000,18951000000,,,,2022,12.4629396,0.41414187,1.046392187,0.544878592,,19144,1.58,0.75
25,25,T,WBD,4/11/22,At&t Inc,Warner Bros Discovery Inc,32583760000,,,Communication Services,Entertainment,,,,1.4224E+11,,5597000000,52947000000,52485000000,9827000000,,-3639000000,-3418000000,5.77195E+11,1.86556E+11,2.29522E+11,,,,2022,1.112818644,1.976846217,0.746444373,0.915681256,0.197,19083,0.33,0
26,26,ENOV,ESAB,4/5/22,Enovis Corp,Esab Corp,2626501106,,,Industrials,Metal Fabrication,,,,3673704000,473799000,381247000,1281403000,1287370000,661177000,,85878000,55249000,8483651000,4644045000,2250802000,,,,2022,2.18418986,0.665383508,0.542921847,0.72137165,0.257,19083,0.33,0
27,27,BDX,EMBC,4/1/22,Becton Dickinson & Co.,Embecta Corp,1463648932,,,Healthcare,Medical Instruments & Supplies,,,,1049800000,130300000,375700000,-847600000,1599200000,291100000,14300000,97100000,62400000,54786000000,24526000000,18635000000,,,,2022,0.612318695,0.367435964,0.474073762,0.172467945,0.152,19083,0.33,0
28,28,BBU,BBUC,3/15/22,Brookfield Business Partners Lp,Brookfield Business Corp,2367804495,True spinoff?,,Financial Services,Asset Management,,,,16848000000,581000000,4077000000,957000000,6231000000,2251000000,,158000000,-164000000,64219000000,13000000000,29076000000,,,,2022,0.988663261,0.446983728,0.670399927,0.713185784,0.4,19052,0.33,0.123619358
29,29,POST,BRBR,3/11/22,Post Holdings Inc,Bellring Brands Inc,3148112000,,,Consumer Defensive,Packaged Foods,,,,657700000,144700000,8900000,-428800000,938800000,315200000,,33200000,1300000,12612900000,2876600000,7465100000,,,,2022,0.493669408,0.937844663,0.509487692,0.814964673,0.4,19052,0.33,0.123619358
30,30,ZBH,ZIMV,3/1/22,Zimmer Biomet Holdings Inc,Zimvie Inc,595598680,,,Healthcare,Medical Devices,,,,1774265000,239281000,170537000,812456000,610635000,235601000,17653000,-22876000,-25656000,23456400000,12666400000,7079300000,,,,2022,0.410230241,0.228568891,0.474073762,0.172467945,0.224,19052,0.33,0.123619358
31,31,CNHI,IVCGF,1/3/22,Cnh Industrial Nv,Iveco Group,2560000000,,,,,,No data,,,,,,,,,,,49416000000,6853000000,23745000000,,,,2022,,,,,,18993,-0.197424791,0.957393721
32,32,VGR,DOUG,12/30/21,Vector Group Ltd.,Douglas Elliman Inc,933922195,,,Real Estate,Real Estate Services,,,,595169000,,162919000,281873000,164865000,334226000,4041000,19173000,20188000,1535958000,-573132000,1581439000,,,,2021,0.717032112,0.895384136,0.330408982,1.025771966,0.023,18993,-0.197424791,0.957393721
33,33,GASS,IMPP,12/6/21,Stealthgas Inc,Imperial Petroleum Inc/marshall Islands,10219067,,,Energy,Oil & Gas Midstream,,,,128468731,258846,119962984,96745843,27836587,4006614,,-1350398,-1482949,942400943,569700859,337443658,,,,2021,0.511922321,0.981067447,1.411156671,0.544878592,0,18962,-1.154818512,0.694976252
34,34,DSX,OP,11/30/21,Diana Shipping Inc,Oceanpal Inc,22506735,,,Industrials,Marine Shipping,,,,49080000,186000,45728000,48149000,,3680000,,414000,414000,878812000,415901000,434728000,,,,2021,0.746259911,0.706917543,0.496440092,0.72137165,0.4,18962,-1.154818512,0.694976252
35,35,O,ONL,11/15/21,Realty Income Corp,Orion Office Reit Inc,1057200885,,,Real Estate,REIT—Office,,,,1759478000,,298107000,1088288000,637456000,40801000,,3766000,-54905000,23711094000,13369113000,9249362000,,,,2021,0.215642124,1.207603221,0.330408982,1.025771966,0.27,18932,-1.849794764,-0.147693291
36,36,BFH,LYLT,11/8/21,Bread Financial Holdings Inc,Loyalty Ventures Inc,1210000000,,https://www.macrotrends.net/stocks/charts/LYLTQ/loyalty-ventures/market-cap,Technology,Information Technology Services,1,Private,"Parent is financial services, but spinoff is information technology, which is noticeable even though it is private. This also makes the industry easy to assign. ",2323727000,,,146564000,654113000,238591000,,-29369000,-55780000,22257300000,2245600000,7594400000,,https://www.sec.gov/ix?doc=/Archives/edgar/data/0001870997/000155837022002348/lylt-20211231x10k.htm,,2021,0.339331651,0.785841228,0.6020976,0.421535022,,18932,-1.849794764,-0.147693291
37,37,BLUE,TSVT,11/5/21,Bluebird Bio Inc,2seventy Bio Inc,604483550,,,Healthcare,Biotechnology,,,,759675000,,310447000,359822000,282215000,16033000,59544000,-68396000,-60974000,1339644000,870527000,181567000,,,,2021,0.378132135,0.093677874,0.408615638,0.172467945,0,18932,-1.849794764,-0.147693291
38,38,IBM,KD,11/4/21,International Business Machines Corp,Kyndryl Holdings Inc,4058020000,,,Technology,Information Technology Services,,,,13213000000,,4284000000,2768000000,4600000,4556000000,,-98000000,-740000000,1.44214E+11,22357000000,58978000000,,,,2021,0.339331651,0.785841228,0.6020976,0.421535022,0.27,18932,-1.849794764,-0.147693291
39,39,DELL,VMW,11/2/21,Dell Technologies Inc,Vmware Inc,53808451840,,,Technology,Software—Infrastructure,,,,28676000000,,1461000000,-876000000,13598000000,3531000000,806000000,783000000,586000000,1.35677E+11,14194000000,47979000000,,,,2021,0.630868444,0.379812599,0.6020976,0.421535022,0.114,18932,-1.849794764,-0.147693291
40,40,BSBR,GET,10/22/21,Banco SAntander (brasil) Sa,Getnet Adquirencia E Servicos Para Meios De Pagamento SA,,,,,,,No data,,,,,,,,,,,9.45582E+11,1.05881E+11,83221506000,,,,2021,,,,,,18932,-1.849794764,-0.147693291
41,41,ZD,CCSI,10/8/21,Ziff Davis Inc,Consensus Cloud Solutions Inc,1151782211,,,Technology,Software—Infrastructure,,,,559591000,,39862000,-333796000,808569000,89004000,2420000,19300000,3616000,3830657000,1369259000,1794908000,,,,2021,0.630868444,0.379812599,0.6020976,0.421535022,0.392,18901,-1.702101473,0.107547837
42,42,ZWS,RRX,10/5/21,Zurn Elkay Water Solutions Corp,Regal Rexnord Corp,11531283460,,,Industrials,Specialty Industrial Machinery,,,,10281600000,1106600000,7558800000,6350100000,1918500000,1216600000,,52400000,-4800000,3689100000,1645700000,1191800000,,,,2021,0.260660376,0.529711181,0.496440092,0.72137165,0.21,18901,-1.702101473,0.107547837
43,43,ITUB,XP,10/4/21,Itau Unibanco Holding SA,Xp Inc,16081430326,,,Financial Services,Capital Markets,,,,1.3934E+11,,598473000,14419629000,1928782000,1701274000,,-513178000,989442000,2.04301E+12,1.58962E+11,3.10186E+11,,,,2021,1.098926187,0.992929947,0.511998974,0.713185784,0.116,18901,-1.702101473,0.107547837
44,44,IP,SLVM,10/1/21,International Paper Co.,Sylvamo Corp,1224371000,,,Basic Materials,Paper & Paper Products,,,,2597000000,342000000,926000000,182000000,1400000000,972000000,,117000000,62000000,29471000000,9623000000,10835000000,,,,2021,1.089075236,1.686811938,0.574952056,0.504063828,0.38,18901,-1.702101473,0.107547837
45,45,PUK,JXN,9/20/21,Prudential PLC,Jackson Financial Inc,2420596334,,,Financial Services,Insurance—Life,,,,3.64373E+11,,,10856100000,2670200000,1476400000,,,206200000,5.25121E+11,16223000000,3.40059E+11,,,,2021,,0.542533081,0.511998974,0.713185784,0.27,18901,-1.702101473,0.107547837
46,46,BBWI,VSCO,8/3/21,Bath & Body Works Inc,Victoria's Secret & Co.,4459323787,,,Consumer Cyclical,Apparel Retail,,,,4369000000,1019000000,2424000000,252000000,2693000000,1441134000,,107914000,75213000,10392000000,-1188000000,8894000000,,,,2021,1.058493499,0.929720478,0.787965823,0.849259347,0.222,18840,-1.796457408,0.093413197
47,47,XPO,GXO,8/2/21,Xpo Logistics Inc,Gxo Logistics Inc,9020600000,,,Industrials,Integrated Freight & Logistics,,,,7133000000,,2641000000,2337000000,2788000000,1974000000,,67000000,72000000,15564000000,2967000000,7899000000,,,,2021,0.395758431,0.902772036,0.496440092,0.72137165,0.25,18840,-1.796457408,0.093413197
48,48,SWI,NABL,7/20/21,Solarwinds Corp,N-able Inc,2218258001,,,Technology,Information Technology Services,,,,1062565000,,75680000,617907000,390800000,88423000,14649000,9772000,1873000,5594015000,2971713000,2048856000,,,,2021,0.339331651,0.785841228,0.6020976,0.421535022,0.27,18840,-1.796457408,0.093413197
49,49,TLSA,ACUT,7/9/21,Tiziana Life Sciences Ltd.,Accustem Sciences Inc,,,Limited public information - no income statements or balance sheets found on YF,Healthcare,Biotechnology,,,,197424000,14962000,19277000,133687000,45204000,4601000,9299000,-29042000,-28511,58030005.26,48842970.63,1150109.337,,,,2021,0.378132135,0.093677874,0.408615638,0.172467945,,18809,-1.889870605,-0.06318335
50,50,DTE,DTM,7/1/21,Dte Energy Co.,Dt Midstream Inc,4472909227,,,Energy,Oil & Gas Midstream,,,,8127000000,,3524000000,3989000000,3089000000,212000000,,106000000,74000000,49636000000,12539000000,23137000000,,,,2021,0.511922321,0.981067447,1.411156671,0.544878592,0.27,18809,-1.889870605,-0.06318335
51,51,CVI,DK,6/11/21,Cvr Energy Inc,Delek Us Holdings Inc,1601223337,,,Energy,Oil & Gas Refining & Marketing,,,,6788400000,1031200000,2530700000,952400000,2411500000,2191500000,,-85400000,-81100000,4188000000,981000000,1703000000,,,,2021,1.200115434,1.0822959,1.411156671,0.544878592,0.388,18779,-1.826687255,0.171613365
52,52,MRK,OGN,6/3/21,Merck & Co Inc,Organon & Co.,7671394160,,,Healthcare,Drug Manufacturers—General,,,,10908000000,871000000,976000000,-1934000000,9348000000,1595000000,76000000,520000000,427000000,90847000000,27039000000,31253000000,,,,2021,0.346773204,0.978150957,0.408615638,0.172467945,0.014,18779,-1.826687255,0.171613365
53,53,IAC,VMEO,5/25/21,Iac Inc,Vimeo Inc,8058736000,,,Technology,Software—Application,,,,612866000,,3232000,379138000,,96046000,27062000,-20312000,-20392000,9736279000,7948861000,705987000,,,,2021,0.557694591,0.322101097,0.6020976,0.421535022,0.27,18779,-1.826687255,0.171613365
54,54,CBD,ASAI,3/8/21,Brazilian Distribution Co Companhia Brasileira De Distr Cbd,Sendas Distributor SA,4695197757,,,Consumer Defensive,Grocery Stores,,,,17616000000,3436000000,7603000000,1590000000,10434000000,10049000000,,582000000,305000000,53295000000,16807000000,17525000000,,,,2021,0.219308933,2.038346315,0.475486653,0.814964673,0.324,18687,-1.561513883,-1.081835103
55,55,FTI,THNPY,2/16/21,Technipfmc PLC,Technip Energies Nv,4007854674,,,Energy,Oil & Gas Equipment & Services,,,,7988100000,,386800000,1367800000,1005600000,6282300000,49500000,507600000,300700000,19692600000,4214300000,4315400000,,,,2021,2.329813724,0.428871003,1.411156671,0.544878592,,18687,-1.561513883,-1.081835103
56,56,VRNT,CGNT,2/2/21,Verint Systems Inc,Cognyte Software Ltd.,1724411566,,,Technology,Software—Infrastructure,,,,593356000,13641000,62847000,285364000,3287000,114734000,33412000,-2606000,-4389000,3261295000,1488033000,869380000,,,,2021,0.630868444,0.379812599,0.6020976,0.421535022,0.23,18659,-0.479678779,-0.064033691
57,57,GORO,FTCO,12/29/20,Gold Resource Corp,Fortitude Gold Corp,110562180,,,Basic Materials,Gold,,,,113025000,23051000,57188000,97968000,7405000,23683000,,9395000,9806000,203463000,175994000,2976000,,,,2020,0.534078762,0.516889429,0.606628016,0.504063828,0.27,18628,-0.415645088,-0.127979386
58,58,AIV,AIRC,12/15/20,Apartment Investment & Management Co.,Apartment Income Reit Corp,5717752392,,,Real Estate,REIT—Residential,,,,6229278000,,63314000,1387542000,4243000000,173746000,,-35571000,-125097000,6153052000,2071169000,3938734000,,,,2020,0.127799347,0.961102368,0.331938797,1.025771966,0.27,18597,-0.287665703,-0.061043548
59,59,PRG,AAN,12/1/20,Prog Holdings Inc,Aaron's Company Inc,640440530,,,Industrials,Rental & Leasing Services,,,,1353457000,697235000,438455000,711325000,279789000,430172000,,51454000,2875000,2884932000,1638682000,604998000,,,,2020,0.390992591,3.018575059,0.493866337,0.72137165,0.023,18597,-0.287665703,-0.061043548
60,60,SNX,CNXC,12/1/20,Td Synnex Corp,Concentrix Corp,6425466701,,,Technology,Information Technology Services,,,,5120849000,,445286000,2389278000,1113218000,1353278000,,134889000,88811000,13468590000,4338860000,1621658000,,,,2020,0.314414337,0.785841228,0.646697974,0.421535022,0.023,18597,-0.287665703,-0.061043548
61,61,PFE,VTRS,11/17/20,Pfizer Inc,Viatris Inc,22617224368,,,Healthcare,Drug Manufacturers—Specialty & Generic,,,,61553000000,5471900000,3783500000,22954100000,26108800000,3623500000,154800000,-809800000,-915800000,1.78983E+11,65495000000,61528000000,,,,2020,0.673866531,0.43455118,0.412248506,0.172467945,0.096,18597,-0.287665703,-0.061043548
62,62,FTV,VNT,10/9/20,Fortive Corp,Vontier Corp,5627803073,,,Technology,Scientific & Technical Instruments,,,,3073000000,233700000,136900000,191700000,1806200000,815000000,32500000,177800000,136800000,17199700000,7688100000,5924100000,,,,2020,0.435002103,0.643501582,0.646697974,0.421535022,0.2,18536,0.17197914,0.09290658
63,63,PDLI,LNSR,10/2/20,Pdl Biopharma Inc,Lensar Inc,77131437,,,Healthcare,Medical Devices,,,,79120000,13473000,4415000,67210000,3314000,8284000,2543000,-6848000,-6828000,,,,https://www.sec.gov/Archives/edgar/data/882104/000088210420000181/pdli-20200930.htm,,,2020,0.415753364,0.228568891,0.412248506,0.172467945,0,18536,0.17197914,0.09290658
64,64,BVH,BBXIA,10/1/20,Bluegreen Vacations Holding Corp,Bbx Capital Inc,109232355,,,Financial Services,Asset Management,,,,447656000,31846000,21291000,309253000,87624000,56239000,,-3158000,-3455000,1239573000,253172000,775503000,,,,2020,0.296405201,0.446983728,0.425798496,0.713185784,0.101,18536,0.17197914,0.09290658
65,65,SPWR,MAXN,8/27/20,Sunpower Corp,Maxeon Solar Technologies Ltd.,568114174,,,Technology,Solar,,,,1100451000,179125000,255502000,485136000,182571000,206620000,9819000,-39154000,-67755000,1938523000,41305000,1015275000,,,,2020,0.771976299,0.942433802,0.646697974,0.421535022,0.17,18506,0.07907256,-0.181310371
66,66,SWBI,AOUT,8/25/20,Smith & Wesson Brands Inc,American Outdoor Brands Inc,211443323,,,Consumer Cyclical,Leisure,,,,335420000,73575000,36356000,268785000,27366000,79098000,1932000,9564000,7339000,658169000,437065000,67508000,,,,2020,1.123746898,0.233185619,0.750913727,0.849259347,0.247,18506,0.07907256,-0.181310371
67,67,OXY,OXY.WS,8/3/20,Occidental Petroleum Corp,Occidental Petroleum Corp,14170000000,True spinoff?,https://www.macrotrends.net/stocks/charts/OXY/occidental-petroleum/market-cap,Energy,Oil & Gas E&P,1,Parent,Industry easy to assign,10694000000,1660000000,68421000000,19860000000,38457000000,3283000000,,,3575000000,89452000000,23346000000,39654000000,,https://www.sec.gov/Archives/edgar/data/797468/000079746820000033/oxy-20200930.htm,,2020,1.729722576,0.41414187,1.493391037,0.544878592,,18475,0.260382931,0.007804564
68,68,BEP,BEPC,7/30/20,Brookfield Renewable Partners Lp,Brookfield Renewable Corp,6699432482,True spinoff?,,Utilities,Utilities—Renewable,,,,34343000000,,31170000000,9716000000,12012000000,724000000,,152000000,-1295000000,33325000000,16174000000,10901000000,,,,2020,0.271917488,0.896855169,0.182947339,1.246500401,0.004,18475,0.260382931,0.007804564
69,69,MTCH,IAC,7/1/20,Match Group Inc,Iac Inc,10221785640,,,Communication Services,Internet Content & Information,,,,8480214000,,265818000,6760081000,729158000,788377000,67870000,-75453000,184917000,2334732000,-1707994000,3527660000,,,,2020,0.801468864,0.118663904,0.5841235,0.915681256,0.27,18444,0.252578368,-0.151233957
70,70,PDLI,EVFM,5/21/20,Pdl Biopharma Inc,Evofem Biosciences Inc,230077849,,,Healthcare,Biotechnology,,,,135056000,1440000,6099000,68539000,49555000,0,2640000,-22372000,-52666000,659803000,553115000,,https://www.sec.gov/Archives/edgar/data/882104/000088210420000071/pdli-2020033110qdoc.htm,,,2020,0.399471715,0.093677874,0.412248506,0.172467945,0,18414,0.403812324,-0.076008607
71,71,MSGS,MSGE,4/20/20,Madison Square Garden Sports Corp,Madison Square Garden Entertainment Corp,1572913518,,,Consumer Cyclical,Leisure,,,,,,,,,881901000,,66566000,-36955000,4309586000,2599277000,632162000,,,,2020,1.123746898,0.233185619,0.750913727,0.849259347,0,18383,0.479820932,-0.017556796
72,72,RTX,CARR,4/3/20,Raytheon Technologies Corp,Carrier Global Corp,19246185588,,,Industrials,Building Products & Equipment,,,,24176000000,1639000000,2494000000,4366000000,12717000000,3972000000,94000000,410000000,261000000,1.39572E+11,42030000000,48445000000,,,,2020,0.261060969,0.821338875,0.493866337,0.72137165,0.282,18353,0.497377728,-0.193986209
73,73,RTX,OTIS,4/3/20,Raytheon Technologies Corp,Otis Worldwide Corp,24624897811,,,Industrials,Specialty Industrial Machinery,,,,10441000000,629000000,1234000000,-3672000000,6670000000,3029000000,37000000,416000000,224000000,1.39572E+11,42030000000,48445000000,,,,2020,0.300140413,0.529711181,0.493866337,0.72137165,0.282,18353,0.497377728,-0.193986209
74,74,HWM,ARNC,4/1/20,Howmet Aerospace Inc,Arconic Corp,680000000,,https://www.macrotrends.net/stocks/delisted/ARNC/arconic/market-cap,Industrials,Aerospace & Defense,1,Not Listed,Industry easy to assign,5733000000,678000000,7282000000,1160000000,1276000000,1187000000,8000000,-67000000,-92000000,18465000000,4797000000,7119000000,,https://www.sec.gov/Archives/edgar/data/1790982/000179098220000151/arnc-20200630.htm,,2020,0.657069392,0.464028931,0.493866337,0.72137165,,18353,0.497377728,-0.193986209
75,75,BIP,BIPC,4/1/20,Brookfield Infrastructure Partners Lp,Brookfield Infrastructure Corp,2039188303,True spinoff?,,Utilities,Utilities—Regulated Gas,,,,8354000000,,4309000000,-517000000,4234000000,322000000,,193000000,-266000000,50904000000,19058000000,20407000000,,,,2020,0.170522269,1.384158036,0.182947339,1.246500401,0.34,18353,0.497377728,-0.193986209
76,76,TT,IR,3/2/20,Trane Technologies PLC,Ingersoll Rand Inc,10330654644,,,Industrials,Specialty Industrial Machinery,,,,15358300000,1088100000,829000000,8755500000,3462800000,799900000,,-66800000,-36800000,20492300000,7312400000,5573400000,,,,2020,0.300140413,0.529711181,0.493866337,0.72137165,0.27,18322,0.691363937,-0.722447114
77,77,EMMS,MDIA,1/7/20,Emmis Communications Corp,Mediaco Holding Inc,30088990,,,Communication Services,Broadcasting,,,,166993000,,56717000,38389000,110823000,11785000,,136000,-1485000,241507000,114597000,73706000,,,,2020,0.4545846,1.074104913,0.5841235,0.915681256,0.29,18262,1.628595281,0.019814143
78,78,DHC,ALR,1/2/20,Diversified Healthcare Trust,Alerislife Inc,120000000,,https://www.macrotrends.net/stocks/delisted/ALR/alerislife/market-cap,Real Estate,,1,Not Listed,"Despite looking like it's part of the healthcare sector, it provides real estate for elder care facilities",148610000,,164274000,200609000,,297445000,,8624000,17209000,6653826000,2877050000,3578366000,,https://www.sec.gov/Archives/edgar/data/1159281/000115928120000033/a3312020-10qxdocument.htm,,2020,,,0.331938797,1.025771966,,18262,1.628595281,0.019814143
